#serial_id|rm_id|revision|from_dt|thru_dt|distribute

# AU2 Research Models
110|77|1|1996-12-31|2999-12-31|1
# WW-2.1 History extension
145|76|4|1996-12-31|2003-01-01|1
# WW-2.1 Production Models (Short Horizon)
81|60|1|1998-12-31|2003-01-01|0
82|60|2|2003-01-01|2009-01-01|1
83|60|3|2009-01-01|2999-12-31|1
84|61|1|1996-12-31|2999-12-31|1
# WW-2.1 History extension
147|60|4|1996-12-31|2003-01-01|1

# WW4 production models
230|230|1|1996-12-31|2999-12-31|1
231|231|1|1996-12-31|2999-12-31|1
232|232|1|1996-12-31|2999-12-31|1
233|233|1|1996-12-31|2999-12-31|1
234|234|1|1996-12-31|2999-12-31|1
235|235|1|1996-12-31|2999-12-31|1
# WW4 with GICS 2018 production models
290|290|1|1996-12-31|2999-12-31|0
291|291|1|1996-12-31|2999-12-31|0
292|292|1|1996-12-31|2999-12-31|0
293|293|1|1996-12-31|2999-12-31|0

# WWxUS4 production models
240|240|1|1996-12-31|2999-12-31|0
241|241|1|1996-12-31|2999-12-31|0
242|242|1|1996-12-31|2999-12-31|0
243|243|1|1996-12-31|2999-12-31|0

# EU4 production models
246|246|1|1996-12-31|2999-12-31|0
247|247|1|1996-12-31|2999-12-31|0
248|248|1|1996-12-31|2999-12-31|0
249|249|1|1996-12-31|2999-12-31|0
270|270|1|1996-12-31|2999-12-31|0

# EM4 production models
250|250|1|1996-12-31|2999-12-31|0
251|251|1|1996-12-31|2999-12-31|0
252|252|1|1996-12-31|2999-12-31|0
253|253|1|1996-12-31|2999-12-31|0
266|266|1|1996-12-31|2999-12-31|0
275|275|1|1996-12-31|2999-12-31|0
276|276|1|1996-12-31|2999-12-31|0
277|277|1|1996-12-31|2999-12-31|0
285|285|1|1996-12-31|2999-12-31|0

# AP4 production models
254|254|1|1996-12-31|2999-12-31|0
255|255|1|1996-12-31|2999-12-31|0
256|256|1|1996-12-31|2999-12-31|0
257|257|1|1996-12-31|2999-12-31|0
267|267|1|1996-12-31|2999-12-31|0
278|278|1|1996-12-31|2999-12-31|0
279|279|1|1996-12-31|2999-12-31|0
280|280|1|1996-12-31|2999-12-31|0
286|286|1|1996-12-31|2999-12-31|0

# APxJP4 production models
258|258|1|1996-12-31|2999-12-31|0
259|259|1|1996-12-31|2999-12-31|0
260|260|1|1996-12-31|2999-12-31|0
261|261|1|1996-12-31|2999-12-31|0
281|281|1|1996-12-31|2999-12-31|0
282|282|1|1996-12-31|2999-12-31|0
283|283|1|1996-12-31|2999-12-31|0
284|284|1|1996-12-31|2999-12-31|0
287|287|1|1996-12-31|2999-12-31|0

# CN4 production models
262|262|1|1996-12-31|2999-12-31|0
263|263|1|1996-12-31|2999-12-31|0
264|264|1|1996-12-31|2999-12-31|0
265|265|1|1996-12-31|2999-12-31|0
288|288|1|1996-12-31|2999-12-31|0

# Extended Factor Library
300|300|1|2009-01-02|2999-12-31|0

# CA Production Models (up to 2009-10-26)
23|18|1|1998-12-31|1999-01-01|0
24|19|1|1998-12-31|1999-01-01|0
# CA Production Models (2009-10-26 regen, medium horizon)
43|18|2|1998-12-31|1999-01-01|0
44|19|2|1998-12-31|1999-01-01|0
141|18|3|1998-12-31|2999-12-31|1
142|19|3|1998-12-31|2999-12-31|1
# CA Production Models (short horizon)
70|49|1|1998-12-31|2999-12-31|1
71|50|1|1998-12-31|2999-12-31|1
# CA V4 production models
320|320|1|1996-12-31|2999-12-31|0
321|321|1|1996-12-31|2999-12-31|0
322|322|1|1996-12-31|2999-12-31|0
323|323|1|1996-12-31|2999-12-31|0
324|324|1|1996-12-31|2999-12-31|0

# AU Production Models
37|24|1|1998-12-31|2009-12-17|0
38|25|1|1998-12-31|2009-12-17|0
# AU Production Models (2009-12 regen, medium horizon)
45|24|2|1998-12-31|1999-01-01|0
46|25|2|1998-12-31|1999-01-01|0
139|24|3|1996-12-31|2999-12-31|1
140|25|3|1996-12-31|2999-12-31|1
# AU Production Models (short horizon)
72|51|1|1996-12-31|2999-12-31|1
73|52|1|1996-12-31|2999-12-31|1
# AU Production Models (2016)
200|206|1|1996-12-31|2999-12-31|1
201|207|1|1996-12-31|2999-12-31|1
202|208|1|1996-12-31|2999-12-31|1
203|209|1|1996-12-31|2999-12-31|1

# Currency Production Models
14|12|1|1980-01-01|2009-09-14|0
15|13|1|1980-01-01|2009-09-14|0
35|12|2|1980-01-01|2012-06-29|0
36|13|2|1980-01-01|2012-06-29|0
# Currency Production Models v2
56|36|1|1980-01-01|2999-12-31|0
57|37|1|1980-01-01|2999-12-31|0
# Currency Production Models v2 (short horizon)
93|66|1|1995-01-01|2999-12-31|0
94|67|1|1995-01-01|2999-12-31|0
# V4 FX Production Models
220|220|1|1980-01-01|2999-12-31|0
221|221|1|1980-01-01|2999-12-31|0
244|244|1|1980-01-01|2999-12-31|0
245|245|1|1980-01-01|2999-12-31|0

# US (Medium-Horizon) Production Models
4|3|2|1994-12-30|2999-12-31|0
7|3|3|1994-12-30|2999-12-31|0
25|20|1|1982-01-01|1982-01-02|0
27|21|1|1982-01-01|1982-01-02|0

# US (Short-Horizon) Production Models
5|5|1|1994-12-30|2999-12-31|0
26|22|1|1982-01-01|1982-01-02|0
28|23|1|1982-01-01|1982-01-02|0

# GB Production Models
# legacy
6|4|1|2000-01-01|2999-12-31|0
9|7|1|1998-12-31|2999-12-31|0
# new (medium horizon)
41|28|1|1998-12-31|1999-01-01|0
42|29|1|1998-12-31|1999-01-01|0
