axid,name,shortname,active,use_level,use_shock,source,type,freq,has_trend,needs_sa,deflator,notes,min_dt,is_tr,is_yield,is_spread,is_price,is_ex_ret
M000100115,SandP GSCI Livestock Total Return,SandP GSCI Livestock Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100119,SandP GSCI Non-Natural Gas Excess,SandP GSCI Non-Natural Gas Excess,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100120,SandP GSCI Non-Natural Gas Spot,SandP GSCI Non-Natural Gas Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100121,SandP GSCI Non-Natural Gas Total Return,SandP GSCI Non-Natural Gas Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100124,SandP GSCI Petroleum Excess Return,SandP GSCI Petroleum Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100125,SandP GSCI Petroleum ex-GasOil Excess,SandP GSCI Petroleum ex-GasOil Excess,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100126,SandP GSCI Petroleum ex-GasOil Spot,SandP GSCI Petroleum ex-GasOil Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100127,SandP GSCI Petroleum ex-GasOil Total,SandP GSCI Petroleum ex-GasOil Total,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100128,SandP GSCI Petroleum Spot,SandP GSCI Petroleum Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100129,SandP GSCI Petroleum Total Return,SandP GSCI Petroleum Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100130,SandP GSCI Platinum Excess Return,SandP GSCI Platinum Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100131,SandP GSCI Platinum Spot,SandP GSCI Platinum Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100132,SandP GSCI Platinum Total Return,SandP GSCI Platinum Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100136,SandP GSCI Red. Energy Excess Return,SandP GSCI Red. Energy Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100137,SandP GSCI Red. Energy Spot,SandP GSCI Red. Energy Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100138,SandP GSCI Red. Energy Total Return,SandP GSCI Red. Energy Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100142,SandP GSCI Soybeans Excess Return,SandP GSCI Soybeans Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100143,SandP GSCI Soybeans Spot,SandP GSCI Soybeans Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100144,SandP GSCI Soybeans Total Return,SandP GSCI Soybeans Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100145,SandP GSCI Sugar Excess Return,SandP GSCI Sugar Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100146,SandP GSCI Sugar Spot,SandP GSCI Sugar Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100147,SandP GSCI Sugar Total Return,SandP GSCI Sugar Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100152,SandP GSCI Wheat(CBOT) Excess Return,SandP GSCI Wheat(CBOT) Excess Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100153,SandP GSCI Wheat(CBOT) Spot,SandP GSCI Wheat(CBOT) Spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100154,SandP GSCI Wheat(CBOT) Total Return,SandP GSCI Wheat(CBOT) Total Return,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100158,Silver Fix London Bullion Market Cash Cents / Troy Ounce,Silver Fix London Bullion Market Cash Cents / Troy Ounce,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,0
M000100159,Silver LBM Cash Pence/Troy ounce,Silver LBM Cash Pence/Troy ounce,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,0
M000010158,SandP 100 INDEX,sp_100,0,0,1,macroidx,geom,D,0,0,,,1/2/1985,0,0,0,0,0
M000010171,SandP 500 INDEX,sp_500_tr,0,0,1,macroidx,geom,D,0,0,,,1/2/1985,0,0,0,0,0
M000100157,Silver (Zurich) SW.Francs/kg,Silver (Zurich) SW.Francs/kg,0,0,1,macrods,geom,D,0,0,,,1/3/1985,0,0,0,0,0
M000010094,RUSSELL 1000 GROWTH,RUSSELL 1000 GROWTH,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,0,0,0,1,0
M000010095,RUSSELL 1000 GROWTH INCL DIVIDENDS,RUSSELL 1000 GROWTH INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,1,0,0,0,0
M000010098,RUSSELL 1000 VALUE,RUSSELL 1000 VALUE,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,0,0,0,1,0
M000010099,RUSSELL 1000 VALUE INCL DIVIDENDS,RUSSELL 1000 VALUE INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,1,0,0,0,0
M000010100,RUSSELL 2000 GROWTH,RUSSELL 2000 GROWTH,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,0,0,0,1,0
M000010101,RUSSELL 2000 GROWTH INCL DIVIDENDS,RUSSELL 2000 GROWTH INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,1,0,0,0,0
M000010104,RUSSELL 2000 VALUE,RUSSELL 2000 VALUE,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,0,0,0,1,0
