axid,name,shortname,active,use_level,use_shock,source,type,freq,has_trend,needs_sa,deflator,notes,min_dt,is_tr,is_yield,is_spread,is_price,is_ex_ret
M000010085,NASDAQ VOLATILITY INDEX - CBOE,nas_vix,1,1,0,macroidx,percent,D,0,0,,,1/3/1995,0,0,0,0,0
M000100200,SandP GSCI Energy and Metals Spot,gsci_energy_metals_spot,1,0,1,macrods,geom,D,0,0,,,1/6/1995,0,0,0,1,0
M000100234,SandP GSCI Four Energy Excess Return,gsci_four_energy_er,1,0,1,macrods,geom,D,0,0,,,1/16/1995,0,0,0,0,1
M000100242,SandP GSCI Softs Spot,gsci_softs_spot,1,0,1,macrods,geom,D,0,0,,,1/17/1995,0,0,0,1,0
M000010007,30-YR TREASURY YIELD INDEX,treasury_yield_30y,1,1,1,macroidx,percent,D,0,0,,factor 10 off,6/1/1999,0,1,0,0,0
M000010229,ML US CORPORATE             TR MASTER,baml_corp_master_tr,1,1,1,macroidx,geom,D,0,0,,,1/1/2008,1,0,0,0,0
M000010260,US Credit Spread - A,ax_us_corp_spread_a,1,1,1,macroidx,percent,D,0,0,,,1/1/2008,0,0,1,0,0
M000010259,US Credit Spread - AA,ax_us_corp_spread_aa,1,1,1,macroidx,percent,D,0,0,,,1/1/2008,0,0,1,0,0
M000010258,US Credit Spread - AAA,ax_us_corp_spread_aaa,1,1,1,macroidx,percent,D,0,0,,,1/1/2008,0,0,1,0,0
M000010261,US Credit Spread - BBB,ax_us_corp_spread_bbb,1,1,1,macroidx,percent,D,0,0,,,1/1/2008,0,0,1,0,0
M000010262,US Credit Spread - SUB-IG,ax_us_corp_spread_sub_ig,1,1,1,macroidx,percent,D,0,0,,,1/1/2008,0,0,1,0,0
